"","variable","R"
"176","PLCE1",0.00927312882751702
"177","PRAMEF4",NA
"178","RAD17",0.106087101920813
"179","AC026877.1",0.141792181190786
"180","AC005086.4",-0.088892827969336
"181","AC108043.1",-0.024995367505676
"182","CICP17",0.0379212240763892
"183","SPCS2",-0.0648681089764325
"184","PPIAP45",0.228400495380454
"185","DGCR11",-0.0261194289814886
"186","SETDB2",0.46701554943562
"187","AC131212.2",0.127907509113521
"188","DESI2",0.164510699878873
"189","PAX3",0.0393819695584553
"190","COX17",-0.254114782961808
"191","PSORS1C3",0.0317627937484269
"192","NLGN2",0.329655400301175
"193","AC090686.1",0.0645898065262815
"194","SERPINE3",0.04610931791243
"195","HAO1",0.0787091994334959
"196","AC087045.2",0.442856895826249
"197","LINC02201",0.188231539912786
"198","AC079062.1",0.172977810484494
"199","AC127496.4",0.0606609267367434
"200","PKMYT1",-0.127615252241645
"201","HSPA8P15",0.21530866951469
"202","OR4A7P",0.122377791317077
"203","XIAPP2",-0.0618302240292741
"204","AC107075.1",0.0909577244843382
"205","AL355810.1",-0.199736358167762
"206","EIF3LP3",-0.0546734393887611
"207","AP001626.1",-0.041916323336218
"208","FAM89B",0.136284239264042
"209","AL356215.1",0.143956230983963
"210","IGLJ6",0.25052330992936
"211","AL592464.1",-0.0387243833870445
"212","TMEM251P1",-0.0795783656360182
"213","Z97832.2",0.0418529934878092
"214","MED8",0.125411677354436
"215","PHF1",0.0950712180673235
"216","ZNF781",0.397795031705004
"217","IGHV1-24",0.575315061028736
"218","RNU6-1329P",0.189175317647023
"219","AC103563.2",0.346229301831027
"220","DIPK1A",0.366102966863768
"221","AC008489.1",-0.0399693888211281
"222","ANKMY1",0.0640499795467643
"223","PSMB6",0.046940922495673
"224","AC027176.2",0.0904913255633956
"225","GUCY1A1",0.415254431285588
"226","AC009237.15",-0.0953319843818893
"227","PRKG2",-0.255681371431756
"228","MESTP3",-0.0257375896316238
"229","FBXO45",-0.0160351377632421
"230","AC107421.1",0.135606920284676
"231","AC098657.3",NA
"232","AC002383.1",-0.0436077493037683
"233","AMZ2",0.164146423271503
"234","AC021106.2",0.073710168950571
"235","AC066612.1",0.18549296832528
"236","AC116612.1",NA
"237","TMEM52",-0.0935504129961154
"238","RPS2P24",0.116363106500693
"239","RNA5SP177",NA
"240","CHN2",0.0109730863285795
"241","RN7SL430P",0.0157749024282131
"242","LNCPRESS1",-0.0466588853057541
"243","ZNF460-AS1",-0.0654035756834416
"244","AC021035.1",-0.0803690842696296
"245","AL512504.1",-0.0315543638536558
"246","OR2AS2P",0.128036879932896
"247","AC005828.7",-0.024306048872187
"248","GCNT4",0.237784043689306
"249","AC012506.3",0.0719088748570201
"250","KLK8",0.0476348795086559
"251","AC024060.1",NA
"252","RN7SL541P",-0.259239341137562
"253","MIR8081",-0.0235465762417714
"254","AL122016.1",0.0129678233744162
"255","AC097527.1",0.0067662292928133
"256","IP6K3",0.220281102105608
"257","AL136146.1",-0.0150378671648033
"258","MTF2",0.297798117107962
"259","ITFG2-AS1",0.113041128919357
"260","NOBOX",0.0464264207978037
"261","RBM15B",0.0603196278406857
"262","PIH1D2",-0.212298615251246
"263","AL390778.1",0.0391182948433421
"264","KRT18P61",-0.0840615258632065
"265","LINC02126",0.417179982486329
"266","AL136981.1",-0.0899058417870586
"267","PCGF7P",0.0758631763617386
"268","AL031009.1",-0.0334995304711106
"269","AC008638.2",0.0173567810358937
"270","VN1R53P",0.0700816485366231
"271","OR52E1",NA
"272","AC009690.1",0.16112632263884
"273","MT1A",0.398010014620829
"274","AC006064.1",0.348796572684575
"275","AC004817.1",0.0741554699070474
"276","AC104009.1",0.00150715094514746
"277","RNU6-391P",0.0207843633892649
"278","AL356234.2",0.120349481676915
"279","ATP2A1",0.0968388553752198
"280","AC093424.1",0.205288983735533
"281","IGKV1OR22-5",0.515578460666312
"282","RNU6-448P",0.0106107911546599
