"","variable","R"
"177","PRAMEF4",NA
"178","RAD17",0.278208794194665
"179","AC026877.1",0.0406566533728928
"180","AC005086.4",-0.0806124971819056
"181","AC108043.1",0.0097542040259107
"182","CICP17",0.0932262141593989
"183","SPCS2",-0.0337353978328528
"184","PPIAP45",0.112124987712165
"185","DGCR11",-0.0954076265189389
"186","SETDB2",0.580208035782712
"187","AC131212.2",0.193446770564718
"188","DESI2",0.0504582818684802
"189","PAX3",0.103864074543462
"190","COX17",-0.319929413942637
"191","PSORS1C3",-0.0362854063136151
"192","NLGN2",0.307617660846535
"193","AC090686.1",0.156449312630377
"194","SERPINE3",0.167287236962624
"195","HAO1",0.140769169434482
"196","AC087045.2",0.419382201650503
"197","LINC02201",0.0377120050592506
"198","AC079062.1",0.218294471929594
"199","AC127496.4",0.0606143803801819
"200","PKMYT1",-0.248692436084882
"201","HSPA8P15",0.255581417086942
"202","OR4A7P",0.128036879932896
"203","XIAPP2",-0.106713910948395
"204","AC107075.1",0.137314434069651
"205","AL355810.1",-0.106097400275376
"206","EIF3LP3",0.0325292054603751
"207","AP001626.1",0.0129919000608208
"208","FAM89B",0.0324713779111026
"209","AL356215.1",0.194564902576105
"210","IGLJ6",0.27250467298682
"211","AL592464.1",-0.052060809874722
"212","TMEM251P1",0.0104820618045819
"213","Z97832.2",0.140199715147637
"214","MED8",0.0150716958071364
"215","PHF1",0.0837467939179741
"216","ZNF781",0.534784932484416
"217","IGHV1-24",0.54959760174101
"218","RNU6-1329P",0.164387336821537
"219","AC103563.2",0.404402556091893
"220","DIPK1A",0.364970325390577
"221","AC008489.1",-0.0183097833408897
"222","ANKMY1",0.0335602265681063
"223","PSMB6",0.111376079766624
"224","AC027176.2",0.0958179212633393
"225","GUCY1A1",0.488551662086668
"226","AC009237.15",-0.0925690557970243
"227","PRKG2",-0.142743679651568
"228","MESTP3",-0.110699886167241
"229","FBXO45",-0.0270808803550403
"230","AC107421.1",0.142639952427082
"231","AC098657.3",NA
"232","AC002383.1",-0.0472180313332792
"233","AMZ2",0.207527188869459
"234","AC021106.2",0.134330825393615
"235","AC066612.1",0.290572065218039
"236","AC116612.1",NA
"237","TMEM52",-0.0395797482112128
"238","RPS2P24",0.130662304715264
"239","RNA5SP177",NA
"240","CHN2",0.11309793367578
"241","RN7SL430P",0.0798375481837165
"242","LNCPRESS1",-0.0625261609068414
"243","ZNF460-AS1",0.0153682926076731
"244","AC021035.1",-0.077787742464799
"245","AL512504.1",-0.0739377753030371
"246","OR2AS2P",0.126622107778941
"247","AC005828.7",-0.026005297958241
"248","GCNT4",0.448033354201274
"249","AC012506.3",0.0108750407474336
"250","KLK8",-0.124750528558799
"251","AC024060.1",NA
"252","RN7SL541P",-0.216639232377837
"253","MIR8081",-0.00228741318828069
"254","AL122016.1",-0.0269662615989069
"255","AC097527.1",0.0223656402230549
"256","IP6K3",0.222393198487527
"257","AL136146.1",0.0263670482694891
"258","MTF2",0.305869929364178
"259","ITFG2-AS1",0.145680867101704
"260","NOBOX",0.0204627480650834
"261","RBM15B",0.079112717732408
"262","PIH1D2",-0.0858408867647161
"263","AL390778.1",0.0576567943313184
"264","KRT18P61",-0.107470670751506
"265","LINC02126",0.312691375153308
"266","AL136981.1",0.00667418762216327
"267","PCGF7P",0.0910187343830515
"268","AL031009.1",-0.135336789318147
"269","AC008638.2",0.048592372693693
"270","VN1R53P",0.0164040570526463
"271","OR52E1",NA
"272","AC009690.1",0.261006786971696
"273","MT1A",0.342006965048356
"274","AC006064.1",0.400943699805097
"275","AC004817.1",0.0719584704805288
"276","AC104009.1",0.113885748193163
"277","RNU6-391P",-0.000200356623234922
"278","AL356234.2",0.206361646317854
"279","ATP2A1",-9.85338364198975e-05
"280","AC093424.1",0.262016346954255
"281","IGKV1OR22-5",0.522522968465407
"282","RNU6-448P",0.0855937153142564
"283","DPY19L1P2",-0.10751634019454
"284","OR6C72P",0.091252803930075
"285","AC027281.2",-0.0747271168086668
"286","RNU1-129P",0.0159854542145561
"287","NCAPG",-0.145106501143092
"288","IGHV5-78",0.611136408631059
"289","FANK1",-0.251988840794203
"290","NOP2",0.0615099962079402
"291","ZNF880",0.190549510266927
"292","MELTF",-0.25961675314089
"293","ZNF736P9Y",-0.0551167940171008
"294","PTPRB",0.428655033038694
"295","AC025159.1",0.0939186707685938
"296","AC116914.1",0.441810232918656
