"","variable","R"
"177","PRAMEF4",NA
"178","RAD17",0.212266765930383
"179","AC026877.1",-0.0598896620090353
"180","AC005086.4",-0.0591712051740184
"181","AC108043.1",-0.0423314879582135
"182","CICP17",0.0949362954392853
"183","SPCS2",-0.0555760696146531
"184","PPIAP45",0.118623538938605
"185","DGCR11",-0.0100633901014301
"186","SETDB2",0.366481177549016
"187","AC131212.2",0.0856741041846891
"188","DESI2",-0.0018482559013308
"189","PAX3",-0.00506903021822342
"190","COX17",-0.124707011130342
"191","PSORS1C3",-0.0963095521281776
"192","NLGN2",0.336976762934557
"193","AC090686.1",0.124241713114375
"194","SERPINE3",0.176501735316355
"195","HAO1",0.0834353543881636
"196","AC087045.2",0.391737405212306
"197","LINC02201",0.112642240970757
"198","AC079062.1",0.157896791949074
"199","AC127496.4",0.0386445000831436
"200","PKMYT1",0.0122351156677758
"201","HSPA8P15",0.112283231717623
"202","OR4A7P",0.128036879932896
"203","XIAPP2",-0.106676264279872
"204","AC107075.1",-0.00406775747327319
"205","AL355810.1",0.0200879745710148
"206","EIF3LP3",0.0471357831092285
"207","AP001626.1",0.0492768404651513
"208","FAM89B",0.0776715359633574
"209","AL356215.1",0.235491361352632
"210","IGLJ6",0.181331892391489
"211","AL592464.1",-0.0480551132419511
"212","TMEM251P1",0.00583988276864397
"213","Z97832.2",0.156472727526074
"214","MED8",0.161873177994906
"215","PHF1",0.152232786686188
"216","ZNF781",0.297358198363542
"217","IGHV1-24",0.433147942827586
"218","RNU6-1329P",0.153455598255562
"219","AC103563.2",0.19467197580659
"220","DIPK1A",0.282327309498761
"221","AC008489.1",-0.0717241560896245
"222","ANKMY1",-0.0232629430165885
"223","PSMB6",0.272016091869366
"224","AC027176.2",-0.012594847167756
"225","GUCY1A1",0.322877466705019
"226","AC009237.15",-0.132733039987818
"227","PRKG2",-0.0520447761639683
"228","MESTP3",0.0244080189590145
"229","FBXO45",0.0466622409381217
"230","AC107421.1",0.0832419186379694
"231","AC098657.3",NA
"232","AC002383.1",0.0398149357187472
"233","AMZ2",0.273793682090032
"234","AC021106.2",0.137365057576232
"235","AC066612.1",0.158259446083199
"236","AC116612.1",NA
"237","TMEM52",-0.168756612466421
"238","RPS2P24",0.20892490095181
"239","RNA5SP177",NA
"240","CHN2",-0.0744726697991801
"241","RN7SL430P",-0.00228095015153952
"242","LNCPRESS1",-0.0483708925636404
"243","ZNF460-AS1",0.142377412461644
"244","AC021035.1",-0.0851165870295628
"245","AL512504.1",-0.133676462992467
"246","OR2AS2P",0.123792563471032
"247","AC005828.7",-0.0343356403712331
"248","GCNT4",0.172550662814226
"249","AC012506.3",-0.0197255304669553
"250","KLK8",-0.0635831824965921
"251","AC024060.1",NA
"252","RN7SL541P",-0.142162414780985
"253","MIR8081",-0.0543191734229066
"254","AL122016.1",-0.0945984940791609
"255","AC097527.1",-0.0461355921861277
"256","IP6K3",0.312753499117201
"257","AL136146.1",0.0529558390647087
"258","MTF2",0.271864807595267
"259","ITFG2-AS1",0.112453794748338
"260","NOBOX",0.0216962771033729
"261","RBM15B",0.106923146593466
"262","PIH1D2",-0.0553829831069212
"263","AL390778.1",0.00942954381049788
"264","KRT18P61",-0.0913849636023463
"265","LINC02126",0.286610036071565
"266","AL136981.1",0.0635677146581084
"267","PCGF7P",-0.00679875500021514
"268","AL031009.1",-0.0757994307926448
"269","AC008638.2",0.00254646962165224
