"","variable","R"
"177","PRAMEF4",NA
"178","RAD17",0.26311022552305
"179","AC026877.1",0.152491562418199
"180","AC005086.4",-0.0420407074602095
"181","AC108043.1",-0.0246087143731174
"182","CICP17",0.0410639276654495
"183","SPCS2",0.049735700401401
"184","PPIAP45",0.120629856721922
"185","DGCR11",-0.0765508379854906
"186","SETDB2",0.554617106469294
"187","AC131212.2",0.125047027748417
"188","DESI2",0.179095698251572
"189","PAX3",0.108044385662582
"190","COX17",-0.354836269608482
"191","PSORS1C3",-0.0475043519198655
"192","NLGN2",0.296155886500964
"193","AC090686.1",0.116445239055576
"194","SERPINE3",0.158608210645436
"195","HAO1",0.0835520992720523
"196","AC087045.2",0.413100500103344
"197","LINC02201",0.0493428983502919
"198","AC079062.1",0.232972702958035
"199","AC127496.4",0.0412167987352277
"200","PKMYT1",-0.304504389732177
"201","HSPA8P15",0.26523046953108
"202","OR4A7P",0.128036879932896
"203","XIAPP2",-0.138146664655224
"204","AC107075.1",0.135464186664998
"205","AL355810.1",-0.129780218632798
"206","EIF3LP3",-0.00285529371901321
"207","AP001626.1",-0.0459897931890169
"208","FAM89B",-0.00569804256064559
"209","AL356215.1",0.154372970224117
"210","IGLJ6",0.288465022787601
"211","AL592464.1",-0.0423008982377327
"212","TMEM251P1",-0.111483383594847
"213","Z97832.2",0.0592407320964517
"214","MED8",0.0272879009406498
"215","PHF1",-0.0152309424114514
"216","ZNF781",0.530521104653882
"217","IGHV1-24",0.604744975254471
"218","RNU6-1329P",0.202370734552705
"219","AC103563.2",0.318165765926783
"220","DIPK1A",0.446562313693914
"221","AC008489.1",-0.0500715806663416
"222","ANKMY1",-0.0471519242463903
"223","PSMB6",0.0294437018465639
"224","AC027176.2",0.112755578585409
"225","GUCY1A1",0.565997266930153
"226","AC009237.15",-0.0871745770758541
"227","PRKG2",-0.105263000743483
"228","MESTP3",-0.037012685003767
"229","FBXO45",0.0620653687404887
"230","AC107421.1",0.119047582055109
"231","AC098657.3",NA
"232","AC002383.1",-0.0207836193258222
"233","AMZ2",0.210919141541368
"234","AC021106.2",0.0863445466307055
"235","AC066612.1",0.26615643623204
"236","AC116612.1",NA
"237","TMEM52",-0.00680480646063474
"238","RPS2P24",0.0959962386574779
"239","RNA5SP177",NA
"240","CHN2",0.126824990967732
"241","RN7SL430P",0.0314696710995339
"242","LNCPRESS1",-0.047782390068742
"243","ZNF460-AS1",-0.0555342673810204
"244","AC021035.1",-0.102509054364907
"245","AL512504.1",-0.113969896076677
"246","OR2AS2P",0.126622107778941
"247","AC005828.7",-0.0464616427249671
"248","GCNT4",0.467429590606839
"249","AC012506.3",0.0109207797123923
"250","KLK8",-0.0937199208103329
"251","AC024060.1",NA
"252","RN7SL541P",-0.270386006892146
"253","MIR8081",-0.0278678580239691
"254","AL122016.1",-0.0236085482902583
"255","AC097527.1",0.0155609088767635
"256","IP6K3",0.276131220947389
"257","AL136146.1",0.0165358987317609
"258","MTF2",0.337092216722685
"259","ITFG2-AS1",0.218254154162875
"260","NOBOX",-0.0183607530995246
"261","RBM15B",0.119925631835785
"262","PIH1D2",-0.119981368147295
"263","AL390778.1",0.0752237154977966
"264","KRT18P61",-0.067118744274487
"265","LINC02126",0.377987795839773
"266","AL136981.1",-0.027639860958641
"267","PCGF7P",0.114930904008513
"268","AL031009.1",-0.15504754757621
"269","AC008638.2",-0.0109079293966446
"270","VN1R53P",0.0256518731371918
"271","OR52E1",NA
"272","AC009690.1",0.170691167009045
"273","MT1A",0.4015851008877
"274","AC006064.1",0.382114287661705
"275","AC004817.1",0.0301009139219182
"276","AC104009.1",0.0784639940051718
"277","RNU6-391P",-0.053572549030236
"278","AL356234.2",0.1594580568381
"279","ATP2A1",-0.0516964242170292
"280","AC093424.1",0.261457188189342
"281","IGKV1OR22-5",0.551545189813512
"282","RNU6-448P",0.103985753315667
"283","DPY19L1P2",-0.159932360004817
"284","OR6C72P",0.0558835000812087
"285","AC027281.2",-0.101591148366351
"286","RNU1-129P",0.0150515055159401
"287","NCAPG",-0.12155591894746
"288","IGHV5-78",0.600229816849758
"289","FANK1",-0.30879807630102
"290","NOP2",0.0753306108799271
"291","ZNF880",0.236450353378168
"292","MELTF",-0.275654876777963
"293","ZNF736P9Y",-0.0676947377691396
"294","PTPRB",0.465003070473589
"295","AC025159.1",0.00232599571427576
"296","AC116914.1",0.390891160030602
