"","x"
"317","PLEK"
"318","LILRB1"
"319","LST1"
"320","SCIMP"
"321","SAMSN1"
"322","WAS"
"323","HLA-DMB"
"324","EVI2B"
"325","BTK"
"326","PIK3R5"
"327","LCP2"
"328","LILRB2"
"329","EVI2A"
"330","C1orf162"
"331","DOCK2"
"332","ADAP2"
"333","SLAMF8"
"334","SLA"
"335","NCKAP1L"
"336","CD4"
"337","MS4A6A"
"338","CD53"
"339","C1QA"
"340","AIF1"
"341","LILRB4"
"342","C1QC"
"343","LAPTM5"
"344","LAIR1"
"345","CD86"
